UniqueCode,QualQuantInc,CADIMA Ref,Author,Study,PubYear,Journal,Study ID,Fire,Grazing,Tourism,Elevation_Stated,Elevation_Est,Elev_Est_Lower,Elev_Est_Upper,Slope,Slope_New,Landform,Landform_Analysis,Aspect,Temperature,Rainfall,Snow,Bare ground,Studysite,Loc.y,Loc.x,Studysite.aggregate,StudySite.LatLong,Loc.y2,Loc.x2,Studysite.aggregate.2,Loc.y.2,Loc.x.2,Study design,Independence?,Study details,Sampling method,Scale,N,r,Other?,Reason for study,Initial ES?,Aggregate.InitialES,Aggregate.InitialES2,Shrub.Dominant,Treatment,TreatmentAggregate1,TreatmentAggregate2,Treatment_Thematic,Treatment_Thematic1,TimeSinceFire...50,TimeSinceGrazing,Response,Family,Form.Category,Alpine.Zone,Alpine.Zone2,Region,Groundwater Association,Ecosystem Types,Seeder.Resprouter,Seeder.Resprouter2,Old.Response,Response.Level,Metric,Metric-Notes,Metric.Aggregate,Metric.Aggregate.Old,QualDirection,Control.Exposure,Design,Year.Initial,Mean...71,SD...72,Year.Final,Mean...74,SD...75,TimeSpan,MeanChange...77,AnnualChange,StandardisedAnnualChange,StandardisedAnnualChange.2,MeanChange...81,TimeSinceFire.New,Climate,Climate.Confounding?,Grazing.Confounding,ID,RainJuly,RainJan,JanTempMin,JanTempMax,JulyTempMin,JulyTempMax
94,Quant+Qual,78,Kirkpatrick 2021,Kirkpatrick et al. 2021,2021,,1,None,None,,NA,1200,1200,1200,,Summit,Plateau,Plateau,Unspecified,Unspecified,Unspecified,Unspecified,Variable / Decreasing,"Mt Field, Tasmania",-42.66441338,146.5795623,"Mt Field, Tasmania","-42.659111551981475, 146.57784569653785",-42.65911155,146.5778457,Tasmania,-42.10191523,146.6712856,BACI,4 Paired BACI,"Transect with repeat photos along each transect, and for each ""quadrat"" within each transect","Field, observational",Multiple sites,80,8,,Vegetation dynamics and shrubification cushion heath,Cushion heathland,Cushion heathland / Fjaledmark,Fjaeldmark,Shrub-dominant,Focal ecosystem degredation,Focal ecosystem (degredation),Focal ecosystem (degredation),Ecosystem change,Ecosystem change,,,Gymnosperm shrubs,,,,,,,,,Mixed,Gymnosperm shrubs,Community / Ecosystem,Shrub cover (%),Shrub cover (%),Cover,Cover,Reduce,Exposure,BACI,2002,12.40625,28.97254886,2012,9.136363636,18.43260283,10,-3.2698863636363633,-0.32698863636363634,-0.32698863636363634,-0.326989,-3.269886364,,Yes,No,No,Tasmania 2012,48.57500076,57.09999847,7.5,20.75,-0.5,7.25
95,Quant+Qual,85,Verrall & Pickering 2019 Grassland post fire,Verrall & Pickering 2019 Grassland post fire,2019,,1,Burnt 2003,Ceased 1950s,,1370-1850,1350-1850,1350,1850,Slope / valley,Slope,Valley,Valley / Waterway,Multiple,Unspecified,Unspecified,Unspecified,"No change, stat not significant","Guthega, NSW",-36.37355122,148.3865344,"KNP, NSW","-36.38080178273203, 148.35892764723545",-36.38080178,148.3589276,"KNP, NSW",-36.38080178,148.3589276,CI,1 Impact control,"10 sites suveyed with 2x 30x20m plots (one burnt, one unburnt)","Field, experimental",Single site,20,10,,Recovery from fire,Grassland / open heathland,Heathland (dry) / Grassland,Heathland / Grassland,Shrub-dominant,Fire (c 2003) + Grazing (ceased 1950),Fire (< 20 ya) + Grazing (ceased > 10 ya),Fire + Grazing (historical),Fire + Grazing,Fire,14,,Shrubs,Mixed,Mixed,Mixed,Alpine Subalpine,Mixed,Mixed,,Mixed,Mixed,Shrub,Shrub,Shrub abundance,"Number of shrub, Table 1",Richness,Abundance,Reduce,Control,CI,2017,8.5,3.478505426,2017,9,2.213594362,14,0.5,NA,,0,0.5,14,Omit CI design,Omit CI design,Yes,"KNP, NSW 2017",73.80000305,29,7.25,21.75,-4.75,3.5
95,Quant+Qual,85,Verrall & Pickering 2019 Grassland post fire,Verrall & Pickering 2019 Grassland post fire,2019,,1,Burnt 2003,Ceased 1950s,,1370-1850,1350-1850,1350,1850,Slope / valley,Slope,Valley,Valley / Waterway,Multiple,Unspecified,Unspecified,Unspecified,"No change, stat not significant","Guthega, NSW",-36.37355122,148.3865344,"KNP, NSW","-36.38080178273203, 148.35892764723545",-36.38080178,148.3589276,"KNP, NSW",-36.38080178,148.3589276,CI,1 Impact control,"10 sites suveyed with 2x 30x20m plots (one burnt, one unburnt)","Field, experimental",Single site,20,10,,Recovery from fire,Grassland / open heathland,Heathland (dry) / Grassland,Heathland / Grassland,Shrub-dominant,Fire (c 2003) + Grazing (ceased 1950),Fire (< 20 ya) + Grazing (ceased > 10 ya),Fire + Grazing (historical),Fire + Grazing,Fire,14,,Shrubs,Mixed,Mixed,Mixed,Alpine Subalpine,Mixed,Mixed,,Mixed,Mixed,Shrub,Shrub,Shrub abundance,"Number of shrub, Table 1",Richness,Abundance,Reduce,Exposure,CI,2017,9,2.213594362,2017,8.5,3.478505426,14,-0.5,NA,,0,-0.5,14,Omit CI design,Omit CI design,Yes,"KNP, NSW 2017",73.80000305,29,7.25,21.75,-4.75,3.5
98,Quant+Qual,85,Verrall & Pickering 2019 Grassland post fire,Verrall & Pickering 2019 Grassland post fire,2019,,1bb,Burnt 2003,Ceased 1950s,,1370-1850,1350-1850,1350,1850,Slope / valley,Slope,Valley,Valley / Waterway,Multiple,Unspecified,Unspecified,Unspecified,"No change, stat not significant","Guthega, NSW",-36.37355122,148.3865344,"KNP, NSW","-36.38080178273203, 148.35892764723545",-36.38080178,148.3589276,"KNP, NSW",-36.38080178,148.3589276,BA,3 Paired BA,"10 sites suveyed with 2x 30x20m plots (one burnt, one unburnt)","Field, experimental",Single site,20,10,,Recovery from fire,Grassland / open heathland,Heathland (dry) / Grassland,Heathland / Grassland,Shrub-dominant,Fire (c 2003) + Grazing (ceased 1950),Fire (< 20 ya) + Grazing (ceased > 10 ya),Fire + Grazing (historical),Fire + Grazing,Fire,14,14,Olearia algida,Asteraceae,Tall,Subalpine,Subalpine,Subalpine,Dry,Subalpine,Seeder / Soil seed bank,Obligate Seeder,Olearia algida,Species,Shrub cover (%),"Cover, Table 1",Cover,Cover,No change,Exposure,BA,1989,0,2.675366364,2010,7,2.675366364,21,7,0.33333333333333331,0.33333333333333331,0.333333,7,14,Omit,Fire during study period,Yes,"KNP, NSW 2010",151.8500061,64.34999847,7.25,21.25,-4.75,3
99,Quant+Qual,85,Verrall & Pickering 2019 Grassland post fire,Verrall & Pickering 2019 Grassland post fire,2019,,1aa,Burnt 2003,Ceased 1950s,,1370-1850,1350-1850,1350,1850,Slope / valley,Slope,Valley,Valley / Waterway,Multiple,Unspecified,Unspecified,Unspecified,"No change, stat not significant","Guthega, NSW",-36.37355122,148.3865344,"KNP, NSW","-36.38080178273203, 148.35892764723545",-36.38080178,148.3589276,"KNP, NSW",-36.38080178,148.3589276,CI,1 Impact control,"10 sites suveyed with 2x 30x20m plots (one burnt, one unburnt)","Field, experimental",Single site,20,10,,Recovery from fire,Grassland / open heathland,Heathland (dry) / Grassland,Heathland / Grassland,Shrub-dominant,Fire (c 2003) + Grazing (ceased 1950),Fire (< 20 ya) + Grazing (ceased > 10 ya),Fire + Grazing (historical),Fire + Grazing,Fire,14,14,Olearia algida,Asteraceae,Tall,Subalpine,Subalpine,Subalpine,Dry,Subalpine,Seeder / Soil seed bank,Obligate Seeder,Olearia algida,Species,Shrub cover (%),"Cover, Table 1",Cover,Cover,Promote,Control,CI,2017,1.3,3.186605576,2017,0.8,3.186605576,14,-0.5,-3.5714285714285712E-2,-3.5714285714285712E-2,-0.035714,-0.5,14,Omit CI design,Omit CI design,Yes,"KNP, NSW 2017",73.80000305,29,7.25,21.75,-4.75,3.5
99,Quant+Qual,85,Verrall & Pickering 2019 Grassland post fire,Verrall & Pickering 2019 Grassland post fire,2019,,1aa,Burnt 2003,Ceased 1950s,,1370-1850,1350-1850,1350,1850,Slope / valley,Slope,Valley,Valley / Waterway,Multiple,Unspecified,Unspecified,Unspecified,"No change, stat not significant","Guthega, NSW",-36.37355122,148.3865344,"KNP, NSW","-36.38080178273203, 148.35892764723545",-36.38080178,148.3589276,"KNP, NSW",-36.38080178,148.3589276,CI,1 Impact control,"10 sites suveyed with 2x 30x20m plots (one burnt, one unburnt)","Field, experimental",Single site,20,10,,Recovery from fire,Grassland / open heathland,Heathland (dry) / Grassland,Heathland / Grassland,Shrub-dominant,Fire (c 2003) + Grazing (ceased 1950),Fire (< 20 ya) + Grazing (ceased > 10 ya),Fire + Grazing (historical),Fire + Grazing,Fire,14,14,Olearia algida,Asteraceae,Tall,Subalpine,Subalpine,Subalpine,Dry,Subalpine,Seeder / Soil seed bank,Obligate Seeder,Olearia algida,Species,Shrub cover (%),"Cover, Table 1",Cover,Cover,Promote,Exposure,CI,2017,0.8,3.186605576,2017,1.3,3.186605576,14,0.5,3.5714285714285712E-2,3.5714285714285712E-2,0.035714,0.5,14,Omit CI design,Omit CI design,Yes,"KNP, NSW 2017",73.80000305,29,7.25,21.75,-4.75,3.5
100,Quant+Qual,85,Verrall & Pickering 2019 Grassland post fire,Verrall & Pickering 2019 Grassland post fire,2019,,1aaa,Burnt 2003,Ceased 1950s,,1370-1850,1350-1850,1350,1850,Slope / valley,Slope,Valley,Valley / Waterway,Multiple,Unspecified,Unspecified,Unspecified,"No change, stat not significant","Guthega, NSW",-36.37355122,148.3865344,"KNP, NSW","-36.38080178273203, 148.35892764723545",-36.38080178,148.3589276,"KNP, NSW",-36.38080178,148.3589276,CI,1 Impact control,"10 sites suveyed with 2x 30x20m plots (one burnt, one unburnt)","Field, experimental",Single site,20,10,,Recovery from fire,Grassland / open heathland,Heathland (dry) / Grassland,Heathland / Grassland,Shrub-dominant,Fire (c 2003) + Grazing (ceased 1950),Fire (< 20 ya) + Grazing (ceased > 10 ya),Fire + Grazing (historical),Fire + Grazing,Fire,14,14,Grevillea australis,Proteaceae,Tall,Alpine Subalpine,Alpine Subalpine,"Alpine, Subalpine",Dry,"Fjaeldmark, Heathland",Seeder / Soil seed bank,Obligate Seeder,Grevillea australis,Species,Shrub cover (%),"Cover, Table 1",Cover,Cover,Promote,Control,CI,2017,5.1,0.665037088,2017,2.4,0.665037088,14,-2.6999999999999997,-0.19285714285714284,-0.19285714285714284,-0.192857,-2.7,14,Omit CI design,Omit CI design,Yes,"KNP, NSW 2017",73.80000305,29,7.25,21.75,-4.75,3.5
100,Quant+Qual,85,Verrall & Pickering 2019 Grassland post fire,Verrall & Pickering 2019 Grassland post fire,2019,,1aaa,Burnt 2003,Ceased 1950s,,1370-1850,1350-1850,1350,1850,Slope / valley,Slope,Valley,Valley / Waterway,Multiple,Unspecified,Unspecified,Unspecified,"No change, stat not significant","Guthega, NSW",-36.37355122,148.3865344,"KNP, NSW","-36.38080178273203, 148.35892764723545",-36.38080178,148.3589276,"KNP, NSW",-36.38080178,148.3589276,CI,1 Impact control,"10 sites suveyed with 2x 30x20m plots (one burnt, one unburnt)","Field, experimental",Single site,20,10,,Recovery from fire,Grassland / open heathland,Heathland (dry) / Grassland,Heathland / Grassland,Shrub-dominant,Fire (c 2003) + Grazing (ceased 1950),Fire (< 20 ya) + Grazing (ceased > 10 ya),Fire + Grazing (historical),Fire + Grazing,Fire,14,14,Grevillea australis,Proteaceae,Tall,Alpine Subalpine,Alpine Subalpine,"Alpine, Subalpine",Dry,"Fjaeldmark, Heathland",Seeder / Soil seed bank,Obligate Seeder,Grevillea australis,Species,Shrub cover (%),"Cover, Table 1",Cover,Cover,Promote,Exposure,CI,2017,2.4,0.665037088,2017,5.1,0.665037088,14,2.6999999999999997,0.19285714285714284,0.19285714285714284,0.192857,2.7,14,Omit CI design,Omit CI design,Yes,"KNP, NSW 2017",73.80000305,29,7.25,21.75,-4.75,3.5
101,Quant+Qual,85,Verrall & Pickering 2019 Grassland post fire,Verrall & Pickering 2019 Grassland post fire,2019,,1a,Burnt 2003,Ceased 1950s,,1370-1850,1350-1850,1350,1850,Slope / valley,Slope,Valley,Valley / Waterway,Multiple,Unspecified,Unspecified,Unspecified,"No change, stat not significant","Guthega, NSW",-36.37355122,148.3865344,"KNP, NSW","-36.38080178273203, 148.35892764723545",-36.38080178,148.3589276,"KNP, NSW",-36.38080178,148.3589276,CI,1 Impact control,"10 sites suveyed with 2x 30x20m plots (one burnt, one unburnt)","Field, experimental",Single site,20,10,,Recovery from fire,Grassland / open heathland,Heathland (dry) / Grassland,Heathland / Grassland,Shrub-dominant,Fire (c 2003) + Grazing (ceased 1950),Fire (< 20 ya) + Grazing (ceased > 10 ya),Fire + Grazing (historical),Fire + Grazing,Fire,14,,Shrubs,Mixed,Mixed,Mixed,Alpine Subalpine,Mixed,Mixed,,Mixed,Mixed,Shrub,Shrub,Shrub cover (%),"Cover, Table 1",Cover,Cover,Promote,Control,CI,2017,17.8,0.614697097,2017,11.3,0.614697097,14,-6.5,-0.4642857142857143,-0.4642857142857143,-0.464286,-6.5,14,Omit CI design,Omit CI design,Yes,"KNP, NSW 2017",73.80000305,29,7.25,21.75,-4.75,3.5
101,Quant+Qual,85,Verrall & Pickering 2019 Grassland post fire,Verrall & Pickering 2019 Grassland post fire,2019,,1a,Burnt 2003,Ceased 1950s,,1370-1850,1350-1850,1350,1850,Slope / valley,Slope,Valley,Valley / Waterway,Multiple,Unspecified,Unspecified,Unspecified,"No change, stat not significant","Guthega, NSW",-36.37355122,148.3865344,"KNP, NSW","-36.38080178273203, 148.35892764723545",-36.38080178,148.3589276,"KNP, NSW",-36.38080178,148.3589276,CI,1 Impact control,"10 sites suveyed with 2x 30x20m plots (one burnt, one unburnt)","Field, experimental",Single site,20,10,,Recovery from fire,Grassland / open heathland,Heathland (dry) / Grassland,Heathland / Grassland,Shrub-dominant,Fire (c 2003) + Grazing (ceased 1950),Fire (< 20 ya) + Grazing (ceased > 10 ya),Fire + Grazing (historical),Fire + Grazing,Fire,14,,Shrubs,Mixed,Mixed,Mixed,Alpine Subalpine,Mixed,Mixed,,Mixed,Mixed,Shrub,Shrub,Shrub cover (%),"Cover, Table 1",Cover,Cover,Promote,Exposure,CI,2017,11.3,0.614697097,2017,17.8,0.614697097,14,6.5,0.4642857142857143,0.4642857142857143,0.464286,6.5,14,Omit CI design,Omit CI design,Yes,"KNP, NSW 2017",73.80000305,29,7.25,21.75,-4.75,3.5
102,Quant+Qual,85,Verrall & Pickering 2019 Grassland post fire,Verrall & Pickering 2019 Grassland post fire,2019,,1b,Not burnt,Ceased 1950s,,1370-1850,1350-1850,1350,1850,Slope / valley,Slope,Valley,Valley / Waterway,Multiple,Unspecified,Unspecified,Unspecified,"No change, stat not significant","Guthega, NSW",-36.37355122,148.3865344,"KNP, NSW","-36.38080178273203, 148.35892764723545",-36.38080178,148.3589276,"KNP, NSW",-36.38080178,148.3589276,BA,3 Paired BA,"10 sites suveyed with 2x 30x20m plots (one burnt, one unburnt)","Field, observational",Single site,20,10,,Recovery from fire,Grassland / open heathland,Heathland (dry) / Grassland,Heathland / Grassland,Shrub-dominant,Grazing (ceased 1950),Grazing (ceased > 20 ya),Grazing (ceased),Grazing,Grazing,,,Shrubs,,,,,,,,,Mixed,Shrub,Shrub,Shrub cover (%),"Cover, Table 1",Cover,Cover,No change,Exposure,BA,1973,2,11.81386957,1997,47,11.81386957,24,45,1.875,1.875,1.875,45,,Yes,Grazing,Yes,"KNP, NSW 1997",60.875,93.80000305,5.25,18.25,-5.5,2.5
103,Quant+Qual,85,Verrall & Pickering 2019 Grassland post fire,Verrall & Pickering 2019 Grassland post fire,2019,,1bbb,Not burnt,Ceased 1950s,,1370-1850,1350-1850,1350,1850,Slope / valley,Slope,Valley,Valley / Waterway,Multiple,Unspecified,Unspecified,Unspecified,"No change, stat not significant","Guthega, NSW",-36.37355122,148.3865344,"KNP, NSW","-36.38080178273203, 148.35892764723545",-36.38080178,148.3589276,"KNP, NSW",-36.38080178,148.3589276,BA,3 Paired BA,"10 sites suveyed with 2x 30x20m plots (one burnt, one unburnt)","Field, observational",Single site,20,10,,Recovery from fire,Grassland / open heathland,Heathland (dry) / Grassland,Heathland / Grassland,Shrub-dominant,Grazing (ceased 1950),Grazing (ceased > 20 ya),Grazing (ceased),Grazing,Grazing,NA,NA,Grevillea australis,Proteaceae,Tall,Alpine Subalpine,Alpine Subalpine,"Alpine, Subalpine",Dry,"Fjaeldmark, Heathland",Seeder / Soil seed bank,Obligate Seeder,Grevillea australis,Species,Shrub cover (%),"Cover, Table 1",Cover,Cover,No change,Exposure,BA,1973,15,2.751734226,1997,47,2.751734226,24,32,1.3333333333333333,1.3333333333333333,1.333333,32,Omit,Yes,Historical Grazing,Yes,"KNP, NSW 1997",60.875,93.80000305,5.25,18.25,-5.5,2.5
104,Quant+Qual,86,Kirkpatrick 2017,Kirkpatrick et al. 2017,2017,,AerialSummits,Unspecified,Unspecified,Unspecified,1340-1545,1350-1850,1350,1850,Unspecified (likely multiple),Unspecified,Peak,Slope / Peak,Multiple,No significant change,Unspecified,No significant change,Significant decrease,Summits of Tasmania,-42.34479432,146.1214755,"Multiple, Tasmania","-42.101915231326544, 146.67128556749628",-42.10191523,146.6712856,Tasmania,-42.10191523,146.6712856,BA,3 Paired BA,"5 summits, 15 photos",Aerial photograph,Multiple sites,15,3,,Change over time for snowpatch ecosystems in Tasmania,Snowpatch,Snowpatch,Snowpatch,Non-shrub dominant,Snow patch area (decrease),Snowmelt (earlier),Snowmelt (earlier),Climate change,Climate change,,,Shrubs,,,,,,,,,Mixed,Shrub,Shrub,Area of shrubs in snowpatch (m2),"Table 3, and statement page 220",Cover,Cover,Reduce,Exposure,BA,1967,7.919054086,6.566759022,2015,5.626879447,1.758397114,48,-2.2921746390756548,-4.7753638314076141E-2,-4.7753638314076141E-2,-0.047754,-2.292174639,,Yes,No,No,Tasmania 2015,50.72499847,121.0500031,7.25,19.25,-1,6.5
118,Quant+Qual,86,Kirkpatrick 2017,Kirkpatrick et al. 2017,2017,,Quadrats,Burnt 1960,Unspecified,Unspecified,1440,1400-1440,1400,1440,Slope,Summit,Plateau,Plateau,Multiple,No significant change,Unspecified,No significant change,Significant decrease,"Clemes Tarn, Mt Field",-42.67132305,146.5396402,"Mt Field, Tasmania","-42.659111551981475, 146.57784569653785",-42.65911155,146.5778457,Tasmania,-42.10191523,146.6712856,BA,3 Paired BA,"105 0.35m2 quadrats, inside 2 transects orthagonal to slope","Field, observational",Single site,105,3,,Change over time for snowpatch ecosystems in Tasmania,Snowpatch,Snowpatch,Snowpatch,Non-shrub dominant,Wind speed (increase) + Adiabatic lapse rate (decrease),Wind speed (increase) + Adiabatic lapse rate (decrease),Wind speed + Adiabatic lapse rate,Climate change,Climate change,,,Tall shrubs,,,,,,,,,Mixed,Tall shrubs,Community / Ecosystem,Percentage cover life form,"Table 1, percentage cover life forms",Cover,Cover,No change,Exposure,BA,1983,6,11.3137085,2014,22,11.3137085,31,16,0.5161290322580645,0.5161290322580645,0.516129,16,,Yes,No,No,Tasmania 2014,133.4750061,20.67499924,6.75,20.75,0.25,7.75
119,Quant+Qual,86,Kirkpatrick 2017,Kirkpatrick et al. 2017,2017,,Quadrats,Burnt 1960,Unspecified,Unspecified,1440,1400-1440,1400,1440,Slope,Summit,Plateau,Plateau,Multiple,No significant change,Unspecified,No significant change,Significant decrease,"Clemes Tarn, Mt Field",-42.67132305,146.5396402,"Mt Field, Tasmania","-42.659111551981475, 146.57784569653785",-42.65911155,146.5778457,Tasmania,-42.10191523,146.6712856,BA,3 Paired BA,"105 0.35m2 quadrats, inside 2 transects orthagonal to slope","Field, observational",Single site,105,3,,Change over time for snowpatch ecosystems in Tasmania,Snowpatch,Snowpatch,Snowpatch,Non-shrub dominant,Wind speed (increase) + Adiabatic lapse rate (decrease),Wind speed (increase) + Adiabatic lapse rate (decrease),Wind speed + Adiabatic lapse rate,Climate change,Climate change,,,Mat shrubs,,,,,,,,,Mixed,Mat shrubs,Community / Ecosystem,Percentage cover life form,"Table 1, percentage cover life forms",Cover,Cover,No change,Exposure,BA,1983,6,0,2014,6,0,31,0,0,0,0,0,,Yes,No,No,Tasmania 2014,133.4750061,20.67499924,6.75,20.75,0.25,7.75
120,Quant+Qual,95,Venn 2012,Venn 2012,2012,,GLORIA,Unspecified,Ceased 1958,Unspecified,1813-2114,1813-2114,1813,2114,Summit,Summit,Peak,Slope / Peak,Unspecified,No change,Increase,Unspecified,Unspecified,"BHP, Victoria",-36.88643224,147.2418571,"BHP, Victoria","-36.8864322376897, 147.2418570718984",-36.88643224,147.2418571,"BHP, Victoria",-36.88643224,147.2418571,BA,3 Paired BA,,"Field, observational",Multiple sites,20,5,,,Grassland / Open Heathland,Heathland (dry) / Grassland,Heathland / Grassland,Shrub-dominant,Precipitation (30% increase) + Growing season precipitation (50% increase),Rainfall (increase),Rainfall (increase),Climate change,Climate change,,,Shrubs,,,,,,,,,Mixed,Shrub,Shrub,Species richness (shrubs) at -5m and -10m isoline,Species richness (shrubs) at -5m and -10m isoline,Richness,Richness,No change,Exposure,BA,1992,3,0,2010,0,0,18,-3,NA,,0,-3,,Yes,No,No,"BHP, Victoria 2010",96.92499542,77.09999847,8.5,21.5,-3.25,4
121,Quant+Qual,96,"Verrall, B., Green, K., Pickering, C.M., 2021. Dynamics in plant diversity and composition on Australian alpine summits over time. Biodivers Conserv 30, 1855–1880. https://doi.org/10.1007/s10531-021-02171-1",Verrall  et al. 2021,2021,,GLORIA,Unspecified,Ceased 1958,,1813-2114,1813-2114,1813,2114,Unspecified,Summit,Plateau,Plateau,Summit,Increase,Unspecified,Unspecified,No significant change,"BHP, Victoria",-36.88643224,147.2418571,"BHP, Victoria","-36.8864322376897, 147.2418570718984",-36.88643224,147.2418571,"BHP, Victoria",-36.88643224,147.2418571,BA,3 Paired BA,"GLORIA summit, 5 x summits, 0m - 10m below summit sampled for vegetation at random using points and recording vegetation touched. 200 samples in every SAS (4), for every summit (1).","Field, observational",Multiple sites,800,200,Change over time for summit,Fjaeldmark,Fjaeldmark,Cushion heathland / Fjaledmark,Fjaeldmark,Shrub-dominant,Grazing (ceased) + Time,Grazing (ceased > 20 ya) + Temperature (increase),Grazing (ceased) + Temperature (increase),Climate change  + Grazing,Climate change,Grazing,NA,Shrubs,,,,,,,,,Mixed,Shrub,Shrub,Overlapping shrub cover (%) at -10m isoline,Overlapping shrub cover (%) at -10m isoline,Cover,Cover,Promote,Exposure,BA,2004,8.292,2.9926,2019,0,7.482,15,-8.2919999999999998,-0.55279999999999996,-0.55279999999999996,-0.5528,-8.292,Omit,Yes,Grazing,Yes,"BHP, Victoria 2019",93.95000458,51.57499695,10.25,23,-1.25,4.75
122,Quant+Qual,98,Camac et al. 2017,Camac et al. 2017,2017,,OTCTransplant,1939,Unspecified,,1750,1750,1750,1750,Minimal,Summit,Plateau,Plateau,None,Increase,Decrease,Decrease,Higher treatment > Control,"BHP, Victoria",-36.88643224,147.2418571,"BHP, Victoria","-36.8864322376897, 147.2418570718984",-36.88643224,147.2418571,"BHP, Victoria",-36.88643224,147.2418571,BA,3 Paired BA,"OTC with transplant.  Seedlings not burnt in 2003 or 2006 fires, transplanted 128 of 4x species and used OTC to simulate warming (+ 0.9 C). 16 OTC sites, 16 control sites (ambient temperature change only).","Field, experimental",Single site,32,16,,Growth under future climate,Grassland / open heathland,Heathland (dry) / Grassland,Heathland / Grassland,Shrub-dominant,Temperature (increase 1C),Temperature (increase),Temperature (increase),Climate change,Climate change,NA,NA,Phebalium squamulosum,Rutaceae,Tall,Subalpine,Subalpine,Subalpine,Dry,"Woodland, OH BHP",Both,Resprouter,Phebalium squamulosum,Species,Height (cm),Height (cm),Height,Height,Promote,Exposure,BA,1990,0,0,2019,0.51,2.034256621,29,0.51,NA,,0,0.51,Omit,Yes,No,No,"BHP, Victoria 2019",93.95000458,51.57499695,10.25,23,-1.25,4.75
123,Quant+Qual,98,Camac et al. 2017,Camac et al. 2017,2017,,OTCTransplant,1939,Unspecified,,1750,1750,1750,1750,Minimal,Summit,Plateau,Plateau,None,Increase,Decrease,Decrease,Higher treatment > Control,"BHP, Victoria",-36.88643224,147.2418571,"BHP, Victoria","-36.8864322376897, 147.2418570718984",-36.88643224,147.2418571,"BHP, Victoria",-36.88643224,147.2418571,BA,3 Paired BA,"OTC with transplant.  Seedlings not burnt in 2003 or 2006 fires, transplanted 128 of 4x species and used OTC to simulate warming (+ 0.9 C). 16 OTC sites, 16 control sites (ambient temperature change only).","Field, experimental",Single site,32,16,,Growth under future climate,Grassland / open heathland,Heathland (dry) / Grassland,Heathland / Grassland,Shrub-dominant,Temperature (increase 1C),Temperature (increase),Temperature (increase),Climate change,Climate change,NA,NA,Asterolasia trymaliodies,Rutaceae,Tall,Alpine Subalpine,Alpine Subalpine,"Alpine, Subalpine",Dry,,Seeder / Soil seed bank,Obligate Seeder,Asterolasia trymalioides,Species,Height (cm),Height (cm),Height,Height,Promote,Exposure,BA,1990,0.01,0.031622777,2019,0.07,0.36986484,29,6.0000000000000005E-2,NA,,0,0.06,Omit,Yes,No,No,"BHP, Victoria 2019",93.95000458,51.57499695,10.25,23,-1.25,4.75
124,Quant+Qual,98,Camac et al. 2017,Camac et al. 2017,2017,,OTCTransplant,1939,Unspecified,,1750,1750,1750,1750,Minimal,Summit,Plateau,Plateau,None,Increase,Decrease,Decrease,Higher treatment > Control,"BHP, Victoria",-36.88643224,147.2418571,"BHP, Victoria","-36.8864322376897, 147.2418570718984",-36.88643224,147.2418571,"BHP, Victoria",-36.88643224,147.2418571,BA,3 Paired BA,"OTC with transplant.  Seedlings not burnt in 2003 or 2006 fires, transplanted 128 of 4x species and used OTC to simulate warming (+ 0.9 C). 16 OTC sites, 16 control sites (ambient temperature change only).","Field, experimental",Single site,32,16,,Growth under future climate,Grassland / open heathland,Heathland (dry) / Grassland,Heathland / Grassland,Shrub-dominant,Temperature (increase 1C),Temperature (increase),Temperature (increase),Climate change,Climate change,NA,NA,Prostanthera cuneata,Lamiaceae,Tall,Alpine Subalpine,Alpine Subalpine,"Alpine, Subalpine",Dry,"Shrubland, open heathland, woodland",Seeder / Soil seed bank,Obligate Seeder,Prosanthera cuneata,Species,Height (cm),Height (cm),Height,Height,No change,Exposure,BA,1936,15.9,2.78514375,1980,11.6,2.78514375,44,-4.3000000000000007,NA,,0,-4.3,Omit,Yes,No,No,"BHP, Victoria 1980",136.25,69.27500153,6.75,17.5,-2.25,3
125,Quant+Qual,98,Camac et al. 2017,Camac et al. 2017,2017,,OTCTransplant,1939,Unspecified,,1750,1750,1750,1750,Minimal,Summit,Plateau,Plateau,None,Increase,Decrease,Decrease,Higher treatment > Control,"BHP, Victoria",-36.88643224,147.2418571,"BHP, Victoria","-36.8864322376897, 147.2418570718984",-36.88643224,147.2418571,"BHP, Victoria",-36.88643224,147.2418571,BA,3 Paired BA,"OTC with transplant.  Seedlings not burnt in 2003 or 2006 fires, transplanted 128 of 4x species and used OTC to simulate warming (+ 0.9 C). 16 OTC sites, 16 control sites (ambient temperature change only).","Field, experimental",Single site,32,16,,Growth under future climate,Grassland / open heathland,Heathland (dry) / Grassland,Heathland / Grassland,Shrub-dominant,Temperature (increase 1C),Temperature (increase),Temperature (increase),Climate change,Climate change,NA,NA,Grevillea australis,Proteaceae,Tall,Alpine Subalpine,Alpine Subalpine,"Alpine, Subalpine",Dry,"Fjaeldmark, Heathland",Seeder / Soil seed bank,Obligate Seeder,Grevillea australis,Species,Height (cm),Height (cm),Height,Height,No change,Exposure,BA,2003,41.8,20.98626535,2013,4,20.98626535,10,-37.799999999999997,NA,,0,-37.8,Omit,Yes,No,No,"BHP, Victoria 2013",121,41.42499924,9,22.25,-1.25,5
